id,name,common_name
600,Buteo albonotatus,Zone-tailed hawk
601,Butorides striata,Striated heron
602,Platalea ajaja,Roseate spoonbill
603,Buteo brachyurus,Short-tailed hawk
604,Ardea alba,Great egret
605,Buteo swainsoni,Swainson's hawk
606,Alectoris rufa,Red-legged partridge
607,Buteo lineatus,Red-shouldered hawk
608,Buteo jamaicensis,Red-tailed hawk
609,Charadrius nivosus,Snowy plover
610,Tringa incana,Wandering tattler
611,Tringa semipalmata,Willet
612,Terathopius ecaudatus,Bateleur
613,Gallinago delicata,Wilson's snipe
614,Buteogallus anthracinus,Common black hawk
615,Chroicocephalus philadelphia,Bonaparte's gull
616,Circaetus gallicus,Short-toed snake eagle
617,Chroicocephalus novaehollandiae,Silver gull
618,Chroicocephalus ridibundus,Black-headed gull
619,Leucophaeus atricilla,Laughing gull
620,Leucophaeus pipixcan,Franklin's gull
621,Onychoprion fuscatus,Sooty tern
622,Sternula antillarum,Least tern
623,Hydroprogne caspia,Caspian tern
624,Thalasseus maximus,Royal tern
625,Thalasseus bergii,Greater crested tern
626,Elanus leucurus,White-tailed kite
627,Alopochen aegyptiaca,Egyptian goose
628,Streptopelia senegalensis,Laughing dove
629,Gerygone igata,Grey warbler
630,Haliaeetus leucocephalus,Bald eagle
631,Cistothorus platensis,Grass wren
632,Haliaeetus vocifer,African fish eagle
633,Bubo scandiacus,Snowy owl
634,Ciccaba virgata,Mottled owl
635,Bonasa umbellus,Ruffed grouse
636,Busarellus nigricollis,Black-collared hawk
637,Rostrhamus sociabilis,Snail kite
638,Milvus milvus,Red kite
639,Gyps fulvus,Griffon vulture
640,Ficedula hypoleuca,European pied flycatcher
641,Momotus coeruliceps,Blue-capped motmot
642,Charadrius semipalmatus,Semipalmated plover
643,Haliastur indus,Brahminy kite
644,Gyps africanus,White-backed vulture
645,Ictinia mississippiensis,Mississippi kite
646,Dives dives,High diving
647,Baeolophus atricristatus,Black-crested titmouse
648,Baeolophus bicolor,Tufted titmouse
649,Baeolophus inornatus,Oak titmouse
650,Melospiza melodia,Song sparrow
651,Spinus spinus,Eurasian siskin
652,Motacilla alba,White wagtail
653,Certhia americana,Brown creeper
654,Bucorvus leadbeateri,Southern ground hornbill
655,Anthus pratensis,Meadow pipit
656,Anthus rubescens,Buff-bellied pipit
657,Tachycineta albilinea,Mangrove swallow
658,Poecile carolinensis,Carolina chickadee
659,Poecile atricapillus,Black-capped chickadee
660,Poecile gambeli,Mountain chickadee
661,Poecile rufescens,Chestnut-backed chickadee
662,Periparus ater,Coal tit
663,Chlorophanes spiza,Green honeycreeper
664,Estrilda astrild,Common waxbill
665,Cyanistes caeruleus,Eurasian blue tit
666,Sphyrapicus varius,Yellow-bellied sapsucker
667,Petrochelidon pyrrhonota,Cliff swallow
668,Troglodytes pacificus,Pacific wren
669,Troglodytes hiemalis,Winter wren
670,Passer montanus,Eurasian tree sparrow
671,Passer domesticus,House sparrow
672,Aphelocoma californica,California scrub jay
673,Amazilia yucatanensis,Buff-bellied hummingbird
674,Amazilia tzacatl,Rufous-tailed hummingbird
675,Dicrurus adsimilis,Black drongo
676,Amazilia violiceps,Violet-crowned hummingbird
677,Lonchura punctulata,Scaly-breasted munia
678,Tigrisoma mexicanum,Bare-throated tiger heron
